	$RMSE$ val	&	24.92	&	28.96	&	29.58	&	30.42	&	32.67	&	29.31	&	2.53	\\
	$RMSE$ train	&	30.28	&	29.37	&	29.20	&	28.97	&	28.38	&	29.24	&	0.62	\\
	$R^2$ val	&	0.38	&	0.35	&	0.33	&	0.31	&	0.26	&	0.33	&	0.04	\\
	$R^2$ train	&	0.32	&	0.32	&	0.33	&	0.33	&	0.35	&	0.33	&	0.01	\\
	$W1$	&	0.07	&	0.29	&	0.14	&	0.04	&	0.30	&	0.17	&	0.11	\\
	$W2$	&	-0.33	&	-0.32	&	-0.20	&	-0.28	&	-0.39	&	-0.30	&	0.06	\\
	$W3$	&	-0.35	&	-0.55	&	-0.80	&	-0.26	&	-0.69	&	-0.53	&	0.20	\\
	$W4$	&	-0.01	&	-0.08	&	-0.19	&	-0.22	&	-0.15	&	-0.13	&	0.07	\\
	$W5$	&	3.07	&	5.19	&	4.96	&	5.55	&	4.50	&	4.65	&	0.86	\\
	$W6$	&	2.28	&	2.36	&	2.37	&	1.50	&	1.76	&	2.06	&	0.36	\\
	$W7$	&	6.35	&	4.90	&	6.12	&	4.86	&	6.91	&	5.83	&	0.82	\\
	$W8$	&	5.43	&	5.06	&	6.06	&	7.31	&	2.57	&	5.29	&	1.56	\\
	$W9$	&	6.09	&	7.33	&	6.99	&	6.85	&	5.38	&	6.53	&	0.70	\\
	$W10$	&	-0.43	&	-1.00	&	-0.72	&	-0.29	&	-0.59	&	-0.61	&	0.25	\\
	$W11$	&	-1.49	&	-1.54	&	-2.04	&	-2.40	&	-2.58	&	-2.01	&	0.44	\\
	$W12$	&	0.58	&	-1.13	&	-1.66	&	-1.42	&	-1.43	&	-1.01	&	0.81	\\
	$W13$	&	1.29	&	1.44	&	1.09	&	1.57	&	2.13	&	1.50	&	0.35	\\
	$W14$	&	0.56	&	-0.78	&	1.33	&	-0.91	&	0.01	&	0.04	&	0.84	\\
	$W15$	&	-0.51	&	0.16	&	-0.20	&	-0.05	&	-0.19	&	-0.16	&	0.22	\\
	$W16$	&	1.20	&	0.83	&	1.54	&	2.59	&	2.01	&	1.63	&	0.61	\\
	$W17$	&	7.36	&	7.77	&	8.34	&	6.54	&	3.95	&	6.79	&	1.54	\\
	$W18$	&	1.55	&	1.57	&	1.16	&	1.70	&	1.00	&	1.40	&	0.27	\\
	$W19$	&	-3.77	&	-3.73	&	-3.83	&	-3.51	&	-1.83	&	-3.33	&	0.76	\\
	$W20$	&	-3.02	&	-4.84	&	-4.46	&	-5.36	&	-4.90	&	-4.52	&	0.80	\\
	$W21$	&	-2.28	&	-2.75	&	-2.15	&	-1.93	&	-1.91	&	-2.20	&	0.31	\\
	$W22$	&	-5.22	&	-6.93	&	-7.35	&	-7.82	&	-3.58	&	-6.18	&	1.57	\\
	$W23$	&	-8.62	&	-6.78	&	-7.46	&	-6.97	&	-5.23	&	-7.01	&	1.10	\\
	$W24$	&	-5.00	&	-4.59	&	-4.83	&	-3.79	&	-4.68	&	-4.58	&	0.42	\\
	$W25$	&	-0.11	&	-0.80	&	-0.60	&	1.13	&	1.24	&	0.17	&	0.86	\\
	$W26$	&	0.81	&	1.07	&	1.53	&	1.90	&	1.99	&	1.46	&	0.46	\\
	$W27$	&	1.63	&	2.01	&	2.09	&	2.04	&	1.32	&	1.82	&	0.30	\\
