0.07 0.29 0.14 0.04 0.30 0.17 0.11
-0.33 -0.32 -0.20 -0.28 -0.39 -0.30 0.06
-0.35 -0.55 -0.80 -0.26 -0.69 -0.53 0.20
-0.01 -0.08 -0.19 -0.22 -0.15 -0.13 0.07
3.07 5.19 4.96 5.55 4.50 4.65 0.86
2.28 2.36 2.37 1.50 1.76 2.06 0.36
6.35 4.90 6.12 4.86 6.91 5.83 0.82
5.43 5.06 6.06 7.31 2.57 5.29 1.56
6.09 7.33 6.99 6.85 5.38 6.53 0.70
-0.43 -1.00 -0.72 -0.29 -0.59 -0.61 0.25
-1.49 -1.54 -2.04 -2.40 -2.58 -2.01 0.44
0.58 -1.13 -1.66 -1.42 -1.43 -1.01 0.81
1.29 1.44 1.09 1.57 2.13 1.50 0.35
0.56 -0.78 1.33 -0.91 0.01 0.04 0.84
-0.51 0.16 -0.20 -0.05 -0.19 -0.16 0.22
1.20 0.83 1.54 2.59 2.01 1.63 0.61
7.36 7.77 8.34 6.54 3.95 6.79 1.54
1.55 1.57 1.16 1.70 1.00 1.40 0.27
-3.77 -3.73 -3.83 -3.51 -1.83 -3.33 0.76
-3.02 -4.84 -4.46 -5.36 -4.90 -4.52 0.80
-2.28 -2.75 -2.15 -1.93 -1.91 -2.20 0.31
-5.22 -6.93 -7.35 -7.82 -3.58 -6.18 1.57
-8.62 -6.78 -7.46 -6.97 -5.23 -7.01 1.10
-5.00 -4.59 -4.83 -3.79 -4.68 -4.58 0.42
-0.11 -0.80 -0.60 1.13 1.24 0.17 0.86
0.81 1.07 1.53 1.90 1.99 1.46 0.46
1.63 2.01 2.09 2.04 1.32 1.82 0.30
-0.26 0.91 0.54 0.61 1.47 0.65 0.56
-2.19 -1.31 -1.87 -0.54 -0.14 -1.21 0.77
4.56 6.05 5.81 5.09 6.88 5.68 0.80
7.54 7.66 11.60 9.10 9.41 9.06 1.47
6.43 6.16 3.10 3.80 3.99 4.69 1.34
-6.99 -8.73 -7.72 -6.74 -8.60 -7.76 0.81
9.26 8.71 5.36 5.73 6.07 7.03 1.62
-2.69 -2.75 -2.54 -2.90 -2.97 -2.77 0.15
0.11 0.09 0.10 0.03 0.04 0.08 0.04
3.37 3.71 2.45 2.19 2.67 2.88 0.57
0.00 0.00 0.00 0.00 0.00 0.00 0.00
0.61 0.61 0.66 0.59 0.56 0.61 0.03
-0.08 0.06 -0.12 0.02 -0.18 -0.06 0.09
0.07 -0.14 -0.08 0.15 -0.13 -0.03 0.11
0.23 -0.05 0.11 0.02 -0.04 0.06 0.10
0.44 0.06 0.23 0.17 0.13 0.20 0.13
0.28 -0.06 0.21 0.20 -0.12 0.10 0.16
0.30 0.02 0.05 0.09 0.00 0.09 0.11
0.00 -0.02 0.04 -0.04 -0.11 -0.02 0.05
-0.14 -0.07 -0.22 -0.27 -0.18 -0.18 0.07
-0.09 -0.08 0.08 0.03 0.02 -0.01 0.07
-0.05 -0.09 0.09 -0.24 -0.02 -0.06 0.11
0.11 0.12 0.18 0.03 -0.13 0.06 0.11
-0.20 -0.15 -0.08 0.02 -0.33 -0.15 0.12
-0.32 -0.23 -0.24 -0.25 -0.32 -0.27 0.04
-0.22 -0.01 -0.05 -0.22 -0.27 -0.15 0.10
6.16 6.30 6.25 6.00 6.28 6.20 0.11
